Id,Amount,EntryDate,Date,ReceiptNumber,PaymentTotal,TransactionTypeId,MemberId,InterestTotal,PaymentCompleted,EntryType,IsReversal,ReversedBy
17092,10,18:40.4,00:00.0,515,0,3,425,0,0,cr,0,
17093,10,18:40.4,00:00.0,515,0,1,425,0,0,cr,0,
17094,20,19:45.5,00:00.0,516,0,3,304,0,0,cr,0,
17095,30,19:45.5,00:00.0,516,0,1,304,0,0,cr,0,
17096,20,20:41.5,00:00.0,517,0,3,432,0,0,cr,0,
17097,20,20:41.5,00:00.0,517,0,1,432,0,0,cr,0,
17098,20,21:29.7,00:00.0,518,0,1,371,0,0,cr,0,
17099,20,22:16.4,00:00.0,519,0,1,325,0,0,cr,0,
17100,80,23:01.3,00:00.0,520,0,3,332,0,0,cr,0,
17101,50,23:01.3,00:00.0,520,0,1,332,0,0,cr,0,
17102,50,24:32.6,00:00.0,521,0,1,322,0,0,cr,0,
17103,30,25:13.4,00:00.0,522,0,1,389,0,0,cr,0,
17104,20,26:04.4,00:00.0,523,0,1,17,0,0,cr,0,
17105,20,26:44.9,00:00.0,524,0,3,329,0,0,cr,0,
17106,200,27:25.4,00:00.0,525,0,1,355,0,0,cr,0,
17107,50,39:39.1,00:00.0,558,0,1,390,0,0,cr,0,
17108,100,05:57.7,00:00.0,559,0,1,332,0,0,cr,0,
17109,30,06:53.7,00:00.0,561,0,3,304,0,0,cr,0,
17110,20,06:53.7,00:00.0,561,0,1,304,0,0,cr,0,
17111,40,08:02.2,00:00.0,562,0,1,295,0,0,cr,0,
17112,20,09:12.9,00:00.0,562,0,3,306,0,0,cr,0,
17113,20,09:12.9,00:00.0,562,0,1,306,0,0,cr,0,
17114,50,10:55.4,00:00.0,564,0,3,386,0,0,cr,0,
17115,20,10:55.4,00:00.0,564,0,1,386,0,0,cr,0,
17116,100,11:59.9,00:00.0,565,0,3,433,0,0,cr,0,
17117,20,12:59.3,00:00.0,567,0,3,409,0,0,cr,0,
17118,50,12:59.3,00:00.0,567,0,1,409,0,0,cr,0,
17119,10,13:59.1,00:00.0,568,0,1,371,0,0,cr,0,
17120,50,14:47.7,00:00.0,569,0,1,435,0,0,cr,0,
17121,10,15:30.6,00:00.0,570,0,1,408,0,0,cr,0,
17122,200,16:37.0,00:00.0,571,0,1,372,0,0,cr,0,
17123,20,17:40.9,00:00.0,572,0,1,432,0,0,cr,0,
17124,160,52:25.9,00:00.0,401,0,1,375,0,0,cr,0,
17125,100,57:01.5,00:00.0,402,0,1,332,0,0,cr,0,
17126,40,57:49.3,00:00.0,403,0,1,435,0,0,cr,0,
17127,2000,58:44.8,00:00.0,404,0,1,420,0,0,cr,0,
17128,50,51:18.1,00:00.0,405,0,3,386,0,0,cr,0,
17129,40,51:18.1,00:00.0,405,0,1,386,0,0,cr,0,
17130,50,52:40.8,00:00.0,406,0,1,317,0,0,cr,0,
17131,50,53:50.1,00:00.0,408,0,1,1573,0,0,cr,0,
17132,100,54:58.4,00:00.0,409,0,1,316,0,0,cr,0,
17133,200,55:41.7,00:00.0,410,0,1,1572,0,0,cr,0,
17134,300,56:48.0,00:00.0,407,0,3,372,0,0,cr,0,
17135,50,56:48.0,00:00.0,407,0,1,372,0,0,cr,0,
